name;grande_comando;estado;pais;
AD INGL;EMAER;-;REINO UNIDO;
AD ISRAEL;EMAER;OUTROS;EXTERIOR;
AD ITALIA;EMAER;-;ITµLIA;
AD PARAG;EMAER;-;PARAGUAI;
AD PERU;EMAER;-;PERU;
AD PORT;EMAER;-;PORTUGAL;
AD URUGUAI;EMAER;-;URUGUAI;
AD VENEZ;EMAER;-;VENEZUELA;
ADDEFNAVEXAERETIOPIA;EMAER;-;ETIOPIA;
ADIAER;EMAER;OUTROS;EXTERIOR;
ADIDEFNAVEXAERINDIA;EMAER;-;÷NDIA;
ADIDEFNAVEXAERLIBANO;EMAER;-;L÷BANO;
ADIDEFNEAINDIA;EMAER;-;÷NDIA;
ADIDEFSENEG;EMAER;-;SENEGAL;
ADIFA;EMAER;OUTROS;EXTERIOR;
ADIFA CHIN;EMAER;-;CHINA;
ADIFA ESP;EMAER;-;ESPANHA;
ADIFA RUSS;EMAER;-;RÈSSIA;
AGAFA;EMAER;-;EQUADOR;
CMA BOL;EMAER;-;BOL÷VIA;
EMAER;EMAER;DF;BRASIL;
MISSAO EXT;EMAER;OUTROS;EXTERIOR;
RBJID;EMFA;-;ESTADOS UNIDOS;
11 CJM;GABAER;DF;BRASIL;
AMVPR;GABAER;DF;BRASIL;
CMB;GABAER;DF;BRASIL;
COJAER;GABAER;DF;BRASIL;
COJAER;GABAER;RJ;BRASIL;
COMAER;GABAER;DF;BRASIL;
GABAER;GABAER;DF;BRASIL;
GABAER;GABAER;RJ;BRASIL;
GSIPR;GABAER;DF;BRASIL;
GTE;GABAER;DF;BRASIL;
MISSAO BR;GABAER;DF;BRASIL;
PRES REP;GABAER;DF;BRASIL;
STM;GABAER;DF;BRASIL;
STM-OF;GABAER;DF;BRASIL;
VIC-PRAER OF;GABAER;DF;BRASIL;
VIC-PRAER SGT;GABAER;DF;BRASIL;
COMDCIBER;MDEFESA;DF;BRASIL;
HFA;MDEFESA;DF;BRASIL;
MDEFESA;MDEFESA;DF;BRASIL;
ONU;MDEFESA;-;ESTADOS UNIDOS;
DIREF;SEFA;DF;BRASIL;
GAP AN;SEFA;GO;BRASIL;
GAP BR;SEFA;DF;BRASIL;
GAP DF;SEFA;DF;BRASIL;
PAAN;SEFA;GO;BRASIL;
PABR;SEFA;DF;BRASIL;
SEFA;SEFA;DF;BRASIL;
ADEXAEAL;-;OUTROS;EXTERIOR;
ADEXAEPR;-;-;PORTUGAL;
ADIDEFNAVEXAERSUECIA;-;OUTROS;REINO UNIDO;
ADIFA COLO;-;-;COL‚MBIA;
ADIFA IRAN;-;-;IRAQUE;
ADIFA ISRA;-;OUTROS;EXTERIOR;
ADIFA IUGO;-;-;IUGOSLµVIA;
ADIFA MEXI;-;-;MêXICO;
CASSAB;-;DF;BRASIL;
CCPR;-;DF;BRASIL;
COMEXER;-;DF;BRASIL;
GAC-AFS;-;-;µFRICA DO SUL;
GAC-CASA;-;-;ESPANHA;
OACI;-;-;CANADµ;
STM/DF;-;DF;BRASIL;
SERIPA VII;CENIPA;AM;BRASIL;
COMARA-DACO TT;COMGAP SP;AM;BRASIL;
DACO MN;COMGAP SP;AM;BRASIL;
DACO UA;COMGAP SP;AM;BRASIL;
DT-INFRA MN;COMGAP SP;AM;BRASIL;
ES-BV;COMGEP;RR;BRASIL;
ES-PV;COMGEP;RO;BRASIL;
HAMN;COMGEP;AM;BRASIL;
SEREP-MN;COMGEP;AM;BRASIL;
1/3 GAV;COMPREP;RR;BRASIL;
1/4 GAV;COMPREP;AM;BRASIL;
1/9 GAV;COMPREP;AM;BRASIL;
2 GDAAE;COMPREP;AM;BRASIL;
2/3 GAV;COMPREP;RO;BRASIL;
2/8 GAV;COMPREP;RO;BRASIL;
7 ETA;COMPREP;AM;BRASIL;
7/8 GAV;COMPREP;AM;BRASIL;
ALA 6;COMPREP;RO;BRASIL;
ALA 7;COMPREP;RR;BRASIL;
ALA 8;COMPREP;AM;BRASIL;
BABV;COMPREP;RR;BRASIL;
BAMN;COMPREP;AM;BRASIL;
BAPV;COMPREP;RO;BRASIL;
BINFAE MN;COMPREP;AM;BRASIL;
DSM-MN;COMPREP;AM;BRASIL;
DSTAEEI;COMPREP;AM;BRASIL;
DSTAEUA;COMPREP;AM;BRASIL;
DSTAEVH;COMPREP;RO;BRASIL;
GSD-MN;COMPREP;AM;BRASIL;
VII COMAR;COMPREP;AM;BRASIL;
5/1 GCC;DECEA;RO;BRASIL;
CINDACTA IV;DECEA;AM;BRASIL;
DTCEA-BV;DECEA;RR;BRASIL;
DTCEA-CZ;DECEA;AC;BRASIL;
DTCEA-EG;DECEA;AM;BRASIL;
DTCEA-EI;DECEA;AM;BRASIL;
DTCEA-GM;DECEA;RO;BRASIL;
DTCEA-MN;DECEA;AM;BRASIL;
DTCEA-MY;DECEA;AM;BRASIL;
DTCEA-PV;DECEA;RO;BRASIL;
DTCEA-RB;DECEA;AC;BRASIL;
DTCEA-TF;DECEA;AM;BRASIL;
DTCEA-TT;DECEA;AM;BRASIL;
DTCEA-UA;DECEA;AM;BRASIL;
DTCEA-VH;DECEA;RO;BRASIL;
12 CJM;GABAER;AM;BRASIL;
GAP BV;SEFA;RR;BRASIL;
GAP MN;SEFA;AM;BRASIL;
GAP PV;SEFA;RO;BRASIL;
PAMN;SEFA;AM;BRASIL;
AUD/4 CJM;-;AM;BRASIL;
CMM;-;AM;BRASIL;
A PER CHBIB 9E10;A PER CHBIB 9E10;AM;BRASIL;
ABCTA-CTBA MENS;ABCTA-CTBA MENS;PE;BRASIL;
ABRA - PAT;ABRA - PAT;SC;BRASIL;
ABRA-CAT MENS;ABRA-CAT MENS;RJ;BRASIL;
ABRA-PC;ABRA-PC;RJ;BRASIL;
ABRA-SAR;ABRA-SAR;AL;BRASIL;
AGIA MENS;AGIA MENS;BA;BRASIL;
ALBATROZ MENS;ALBATROZ MENS;RJ;BRASIL;
AM PNR SOSGT BQ;AM PNR SOSGT BQ;PE;BRASIL;
AMBRA;AMBRA;PE;BRASIL;
AMEAVITA;AMEAVITA;DF;BRASIL;
AMRAER;AMRAER;RJ;BRASIL;
ANAPCON MENS;ANAPCON MENS;RN;BRASIL;
ANAPI;ANAPI;RJ;BRASIL;
APCH AEROPORTO;APCH AEROPORTO;AM;BRASIL;
APEAB;APEAB;MG;BRASIL;
APVMRN;APVMRN;RJ;BRASIL;
