id;name;grande_comando;estado;pais;
437;CPO;CPO;DF;BRASIL;
438;CCISE;DCTA;DF;BRASIL;
439;COPAC;DCTA;DF;BRASIL;
440;CINDACTA I;DECEA;DF;BRASIL;
441;DTCEA-AN;DECEA;GO;BRASIL;
442;DTCEA-BR;DECEA;DF;BRASIL;
443;DTCEA-BW;DECEA;MT;BRASIL;
444;DTCEA-CY;DECEA;MT;BRASIL;
445;DTCEA-EP;DECEA;MT;BRASIL;
446;DTCEA-FA;DECEA;MT;BRASIL;
447;DTCEA-GA;DECEA;DF;BRASIL;
448;DTCEA-GI;DECEA;MT;BRASIL;
449;DTCEA-SI;DECEA;MT;BRASIL;
450;DTS;DECEA;DF;BRASIL;
451;AD AFR SUL;EMAER;-;µFRICA DO SUL;
452;AD ALEMANH;EMAER;-;ALEMANHA;
453;AD ARGENT;EMAER;-;ARGENTINA;
454;AD BOLIVIA;EMAER;-;BOL÷VIA;
455;AD CHILE;EMAER;-;CHILE;
456;AD CHINA;EMAER;-;CHINA;
457;AD COLOMB;EMAER;-;COL‚MBIA;
458;AD EEUU;EMAER;-;ESTADOS UNIDOS;
459;AD EQUADOR;EMAER;-;EQUADOR;
460;AD FRANCA;EMAER;-;FRANÄA;
461;AD INDONE;EMAER;-;INDONêSIA;
462;AD INGL;EMAER;-;REINO UNIDO;
463;AD ISRAEL;EMAER;OUTROS;EXTERIOR;
464;AD ITALIA;EMAER;-;ITµLIA;
465;AD PARAG;EMAER;-;PARAGUAI;
466;AD PERU;EMAER;-;PERU;
467;AD PORT;EMAER;-;PORTUGAL;
468;AD URUGUAI;EMAER;-;URUGUAI;
469;AD VENEZ;EMAER;-;VENEZUELA;
470;ADDEFNAVEXAERETIOPIA;EMAER;-;ETIOPIA;
471;ADIAER;EMAER;OUTROS;EXTERIOR;
472;ADIDEFNAVEXAERINDIA;EMAER;-;÷NDIA;
473;ADIDEFNAVEXAERLIBANO;EMAER;-;L÷BANO;
